response.id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom,consent,PSTAT100,PSTAT120A-B,PSTAT122,PSTAT126,PSTAT131,PSTAT160A-B,CS9,CS16,PSTAT174,PSTAT175,PSTAT127,PSTAT134,PSTAT115,CS5A-B,ECON145,CS130A-B,CS165A-B,LING110,LING111,rsrch
43,Int,5,Beg,1,Int,1,5-Mar,No,Yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
44,Int,4,Int,4,Adv,5,8-Jun,No,Yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,FALSE
45,Int,3,Adv,4,Adv,5,8-Jun,No,Yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
47,Adv,4,Adv,4,Int,2,8-Jun,No,Yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
48,Int,5,Int,4,Int,5,9+,Unsure,Yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,TRUE
49,Adv,5,Int,4,Adv,4,8-Jun,Yes,Yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
50,Adv,3,Int,3,Int,4,9+,No,Yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,FALSE
51,Adv,5,Adv,4,Adv,4,9+,No,Yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,TRUE
52,Int,4,Adv,4,Adv,4,8-Jun,No,Yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,FALSE
53,Adv,5,Adv,3,Adv,4,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,TRUE
54,Int,4,Adv,4,Adv,5,9+,No,Yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
56,Int,3,Adv,4,Int,3,9+,No,Yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,FALSE
57,Int,3,Int,3,Int,4,9+,No,Yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,TRUE
